key,english,romanian
info.transportation.busToBrasov,Bus to Brasov,Autobuz la Brașov
info.transportation.taxi,Taxi,Taxi
info.transportation.carRental,Car Rental,Închiriere Mașini
info.language.title,Language,Limbă
info.language.main,Main,Principal
info.language.common,Common,Obișnuit
info.language.tip,Tip,Sfat
info.currency.title,Currency,Valută
info.currency.currency,Currency,Valută
info.currency.atms,ATMs,Bancomate
info.currency.cards,Cards,Cărți
info.hours.title,Opening Hours,Ore de Deschidere
info.hours.fortress,Fortress,Cetate
info.hours.shops,Shops,Magazine
info.hours.restaurants,Restaurants,Restaurante
info.visitTime.title,Best Time to Visit,Cel mai Bun Timp pentru Vizită
info.visitTime.peak,Peak,Vârf
info.visitTime.shoulder,Shoulder,Transițional
info.visitTime.winter,Winter,Iarnă
footer.aboutTitle,About Rasnov,Despre Râșnov
footer.aboutText,"Historic town in Transylvania, Romania, known for its medieval fortress and stunning mountain scenery.","Oraș istoric din Transilvania, România, cunoscut pentru cetatea medievală și peisajele muntoase impresionante."
footer.quickLinks,Quick Links,Linkuri rapide
footer.contact,Contact,Contact
footer.copyright,© 2026 Discover Rasnov. Made with ❤ for tourists.,© 2026 Descoperă Râșnov. Făcut cu ❤ pentru turiști.
footer.home,Home,Acasă
footer.treasureHunt,Treasure Hunt,Vânătoare
footer.map,Map,Hartă
footer.info,Info,Info
hunt.title,Treasure Hunt,Vânătoare Comori
hunt.subtitle,"Explore Rasnov in a fun, interactive way!",Explorează Râșnov într-un mod distractiv și interactiv!
hunt.startBtn,Start Hunt,Începe Vânătoarea
hunt.resetBtn,Reset Hunt,Resetează Vânătoarea
hunt.scanBtn,Scan QR Code,Scanează QR
hunt.useLocation,Use Location,Folosește Locația
hunt.nextSiteLabel,Next Site: ,Locul următor: 
hunt.tabHunt,Hunt,Vânătoare
hunt.tabLeaderboard,Leaderboard,Clasament
hunt.tabRewards,Rewards,Recompense
hunt.yourProgress,Your Progress,Progresul tău
hunt.locationsFound,{{count}} / {{total}} locations found,{{count}} / {{total}} locații găsite
huntItems.fortress,Rasnov Fortress Gate,Poarta Cetății Râșnov
huntItems.well,Ancient Well,Fântâna Antică
huntItems.tower,Watch Tower,Turnul de Veghe
huntItems.church,Old Church,Biserica Veche
huntItems.museum,Village Museum,Muzeul Satului
huntItems.peak,Mountain Peak,Vârful Muntelui
huntItems.square,Town Square,Piața Orașului
huntItems.dino,Dino Park Entrance,Intrarea Dino Parc
leaderboard.title,🏆 Leaderboard,🏆 Clasament
leaderboard.subtitle,Top Rasnov Explorers - Ranked by Points,Top Exploratori Râșnov - Clasați după Puncte
leaderboard.yourRank,Your Rank:,Rangul tău:
leaderboard.yourPoints,Your Points:,Punctele tale:
leaderboard.totalPlayers,Total Players:,Total Jucători:
leaderboard.colRank,#,#
leaderboard.colPlayer,Player,Jucător
leaderboard.colPoints,Points,Puncte
leaderboard.colLocations,Locations,Locații
leaderboard.colStatus,Status,Status
leaderboard.loading,Loading leaderboard...,Se încarcă clasamentul...
leaderboard.refresh,Refresh,Reîmprospătare
modal.qr.title,Scan QR Code,Scanează codul QR
modal.qr.help,Point your camera at a QR code at any treasure hunt location,Îndreptați camera către un cod QR la una dintre locațiile vânătorii
modal.welcome.title,Welcome to Rasnov!,Bun venit în Râșnov!
modal.welcome.continue,Continue Hunt,Continuă Vânătoarea
modal.discovery.title,Location Found!,Locație Găsită!
modal.discovery.continue,Continue Hunt,Continuă Vânătoarea
modal.firstDiscovery.title,🎉 Congratulations!,🎉 Felicitări!
modal.firstDiscovery.message,You found your first location! Add your name to appear on the leaderboard.,Ai găsit prima locație! Adaugă-ți numele pentru a apărea pe clasament.
modal.firstDiscovery.placeholder,Your name,Numele tău
modal.firstDiscovery.save,Save Name,Salvează Numele
modal.firstDiscovery.skip,Skip for now,Sari deocamdată
modal.survey.title,Quick Survey,Sondaj rapid
modal.survey.message,Would you like to take a quick survey about your time in Rasnov? We look over every response to improve the site!,Doriți să completați un sondaj rapid despre timpul petrecut în Râșnov? Analizăm fiecare răspuns pentru a îmbunătăți site-ul!
modal.survey.reward,🎁 Unlock a special site theme as a thank you!,🎁 Deblocați o temă specială ca mulțumire!
modal.survey.yes,"Yes, take the survey!","Da, completez sondajul!"
modal.survey.no,Maybe later,Poate mai târziu
modal.survey.formTitle,Rasnov Survey,Sondaj Râșnov
modal.survey.openTab,Open in new tab ↗,Deschide în filă nouă ↗
ar.loading,Initializing Camera...,Se inițializează camera...
ar.huntBanner,Find Grizzly and take a picture!,Găsește Grizzly și fă o poză!
ar.tapToPlace,Tap the glowing ring to place Grizzly,Atinge inelul luminos pentru a plasa Grizzly
ar.testMode,Test Mode Active,Mod Testare Activ
card.learnMore,Learn More,Aflați mai multe
card.viewMenu,View Menu,Vezi Meniu
card.checkAvailability,Check Availability,Verificați Disponibilitatea
msg.startHuntFirst,Please start the hunt first!,Vă rugăm să porniți vânătoarea mai întâi!
msg.gettingLocation,Getting your location...,Se obține locația dvs...
msg.locationError,Could not get your location. Please enable location services.,Nu s-a putut obține locația. Activați serviciile de localizare.
msg.geolocationNotSupported,Geolocation is not supported by your browser.,Geolocalizarea nu este acceptată de browserul dvs.
msg.testingModeEnabled,Testing mode enabled! Click on any location to mark it as found.,Mod testare activat! Apăsați pe orice locație pentru a o marca ca găsită.
msg.testingModeDisabled,Testing mode disabled.,Mod testare dezactivat.
msg.noCameraSupport,Camera access is not supported on this browser. Please use a modern browser with HTTPS.,Accesul la cameră nu este acceptat de acest browser. Folosiți un browser modern cu HTTPS.
msg.cameraAccessError,Could not access camera. Testing mode allows manual selection.,Nu se poate accesa camera. Modul testare permite selecție manuală.
msg.qrSuccess,QR Code scanned successfully!,Cod QR scanat cu succes!
msg.alreadyFound,You already found this location!,Ai găsit deja această locație!
msg.qrNotRecognized,QR code not recognized. Make sure you're at a treasure hunt location.,Cod QR nerecunoscut. Asigurați-vă că sunteți la o locație a vânătorii.
msg.noLocationsNearby,No locations nearby. Keep exploring!,Nicio locație în apropiere. Continuați explorarea!
msg.cameraAccessDenied,Unable to access camera.,Imposibil de accesat camera.
msg.allowCameraAccess,Please allow camera access to proceed.,Permiteți accesul la cameră pentru a continua.
msg.noCameraFound,No camera found on this device.,Nu s-a găsit nicio cameră pe acest dispozitiv.
msg.cameraNotSupported,Camera not supported on this browser. Please use HTTPS.,Camera nu este acceptată de acest browser. Folosiți HTTPS.
msg.checkCameraSettings,Please check your camera settings.,Verificați setările camerei.
msg.cameraRequiresHttps,Camera requires HTTPS. Please access the site via https://.,Camera necesită HTTPS. Accesați site-ul prin https://.
msg.mapLoaded,Map loaded with all locations!,Harta încărcată cu toate locațiile!
msg.mapLoadedSuccess,Map loaded successfully!,Harta a fost încărcată cu succes!
msg.selectQrCode,Select a QR Code to Scan:,Selectați un cod QR pentru scanare:
msg.huntStarted,Treasure hunt started! Find all 8 locations.,Vânătoarea a început! Găsiți toate cele 8 locații.
msg.huntStopped,Treasure hunt stopped.,Vânătoarea a fost oprită.
msg.testingAt,Testing at ,Testare la 
msg.openNow,Open now,Deschis acum
msg.closed,❌ Closed,❌ Închis
msg.openNowCheck,✅ Open now,✅ Deschis acum
msg.unlockedBySurvey,Unlocked by survey,Deblocat prin sondaj
msg.takeSurveyToUnlock,Take the survey to unlock,Completați sondajul pentru a debloca
msg.huntStartedTimer,Hunt Started!,Vânătoarea a început!
msg.timeToFind,Time to find this location,Timp pentru a găsi această locație
msg.greatJob,Great job exploring Rasnov!,Felicitări pentru explorare!
msg.youFound,You found {{name}}!,Ai găsit {{name}}!
msg.funFact,Fun Fact,Curiozitate
msg.about,About,Despre
msg.hours,Hours,Ore
msg.price,Price,Preț
msg.tips,Tips,Sfaturi
msg.menuHighlights,Menu Highlights,Meniu (repere)
msg.note,Note,Notă
msg.description,Description,Descriere
msg.amenities,Amenities,Facilități
msg.book,Book,Contact
msg.langChangedRo,Limba a fost schimbată în Română,Limba a fost schimbată în Română
msg.langChangedEn,Language changed to English,Limbă schimbată în Engleză
msg.survey,Survey,Sondaj
